id,age,race,married,never_married,grade,collgrad,south,smsa,city,industry,occupation,union,wage,hours,exp,tenure
1,37,black,single,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Operatives,union,12,48,10,5
2,37,black,single,0,12,not college grad,0,SMSA,1,Manufacturing,Craftsmen,union,6,40,14,5
3,42,black,single,1,12,not college grad,0,SMSA,1,Manufacturing,Sales,,5,40,18,1
4,43,white,married,0,17,college grad,0,SMSA,0,Professional Services,Other,union,9,42,13,2
6,42,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Operatives,nonunion,8,48,18,18
7,39,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,5,30,7,2
9,37,white,single,0,12,not college grad,0,SMSA,1,Transport/Comm/Utility,Managers/admin,union,10,40,19,19
12,40,white,married,0,18,college grad,0,SMSA,0,Professional Services,Managers/admin,nonunion,17,45,16,14
13,40,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,13,8,14,6
14,40,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,8,50,7,2
15,39,white,married,0,16,college grad,0,SMSA,0,Professional Services,Professional/technical,union,17,16,16,8
16,40,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,15,40,16,14
18,40,white,married,0,15,not college grad,0,SMSA,0,Wholesale/Retail Trade,Craftsmen,nonunion,5,40,8,8
19,40,white,single,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,union,10,40,14,6
20,39,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,union,10,4,16,5
22,41,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,9,32,15,3
23,42,white,married,0,15,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8,45,15,8
24,41,white,married,0,14,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,11,24,16,3
25,42,white,married,0,14,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10,40,18,5
36,37,white,single,1,12,not college grad,0,SMSA,0,Business/Repair Svc,Clerical/unskilled,,4,40,16,1
39,44,white,single,0,16,college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,10,40,9,8
44,41,white,married,0,18,college grad,0,SMSA,0,Public Administration,Professional/technical,union,28,35,16,4
45,35,white,married,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Sales,union,10,38,17,17
46,44,white,married,0,18,college grad,0,SMSA,0,Professional Services,Sales,nonunion,3,25,6,3
47,35,white,single,0,12,not college grad,0,SMSA,0,Transport/Comm/Utility,Craftsmen,nonunion,4,40,9,1
48,35,white,single,0,15,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,,6,40,6,0
50,36,white,single,0,16,college grad,0,SMSA,1,Professional Services,Professional/technical,,36,45,9,6
51,38,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,4,18,10,3
54,40,white,single,1,12,not college grad,0,SMSA,1,Professional Services,Laborers,nonunion,5,55,10,1
57,42,white,married,0,12,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,6,40,13,7
62,38,white,married,0,10,not college grad,0,nonSMSA,0,Wholesale/Retail Trade,Sales,nonunion,5,40,7,6
63,44,white,single,0,15,college grad,0,SMSA,1,Professional Services,Professional/technical,union,25,18,10,2
64,38,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,union,4,30,7,3
66,39,white,married,0,13,not college grad,0,SMSA,1,Wholesale/Retail Trade,Clerical/unskilled,nonunion,5,9,11,10
67,40,white,married,0,15,not college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,8,24,11,3
70,36,white,married,0,13,not college grad,0,nonSMSA,0,Transport/Comm/Utility,Sales,nonunion,17,38,16,16
71,34,white,married,0,12,not college grad,0,nonSMSA,0,Manufacturing,Sales,nonunion,6,38,11,3
72,36,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,union,7,40,9,1
73,36,white,single,1,14,not college grad,0,nonSMSA,0,Manufacturing,Sales,,7,40,14,1
75,39,black,single,0,11,not college grad,0,nonSMSA,0,Manufacturing,Operatives,union,13,40,14,9
78,40,white,married,0,12,not college grad,0,SMSA,1,Finance/Ins/Real Estate,Sales,nonunion,18,35,16,9
80,45,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,12,8,6,0
85,38,white,single,0,11,not college grad,0,SMSA,1,Manufacturing,Sales,,9,40,6,2
86,44,white,single,1,17,college grad,0,SMSA,0,Entertainment/Rec Svc,Laborers,union,13,44,16,1
103,36,white,married,0,18,college grad,0,SMSA,1,Professional Services,Other,union,11,35,10,0
104,41,white,married,0,17,college grad,0,SMSA,0,Professional Services,Other,nonunion,4,18,9,3
105,41,white,married,0,16,college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,4,8,9,6
106,38,black,single,0,12,not college grad,1,SMSA,1,Public Administration,Sales,nonunion,11,40,17,17
107,43,black,single,0,8,not college grad,0,SMSA,1,Manufacturing,Operatives,union,4,40,8,1
110,45,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,union,5,20,7,3
121,39,black,married,0,12,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,union,10,38,21,21
123,41,other,single,0,6,not college grad,0,SMSA,1,Business/Repair Svc,Operatives,union,3,37,7,1
126,39,black,single,0,12,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10,40,20,20
128,36,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Professional/technical,nonunion,9,40,19,19
129,43,white,single,0,12,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8,37,14,10
130,43,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,nonunion,6,40,6,1
131,41,white,single,0,12,not college grad,0,SMSA,1,Professional Services,Sales,union,4,38,12,0
132,36,white,single,0,10,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,6,43,10,3
134,42,white,married,0,12,not college grad,0,SMSA,0,Public Administration,Managers/admin,nonunion,5,30,6,2
137,36,black,married,0,17,college grad,0,SMSA,0,Professional Services,Other,union,15,30,10,10
139,44,black,single,0,9,not college grad,0,SMSA,1,Professional Services,Sales,union,5,35,9,9
141,43,white,single,0,14,not college grad,0,SMSA,0,Professional Services,Sales,,40,40,13,1
142,43,white,married,0,18,college grad,0,SMSA,0,Professional Services,Professional/technical,union,15,40,15,6
143,37,white,married,0,15,not college grad,0,SMSA,0,Professional Services,Professional/technical,nonunion,10,40,7,1
144,43,white,married,0,10,not college grad,1,SMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,4,40,14,0
147,40,white,married,0,12,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,9,20,8,3
152,37,white,married,0,18,college grad,0,SMSA,0,Professional Services,Other,union,10,50,14,5
159,36,white,married,0,11,not college grad,0,SMSA,0,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,10,37,17,17
166,38,white,married,0,14,not college grad,0,SMSA,0,Professional Services,Other,nonunion,4,4,11,1
167,37,white,married,0,13,not college grad,1,nonSMSA,0,Construction,Sales,nonunion,5,25,17,8
168,41,white,married,0,17,college grad,1,SMSA,0,Professional Services,Other,nonunion,8,40,11,4
169,36,white,single,0,16,college grad,0,SMSA,0,Professional Services,Other,union,10,37,15,15
172,44,white,married,0,15,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,11,30,18,3
173,43,black,single,0,12,not college grad,0,SMSA,1,Personal Services,Transport,,3,35,12,3
176,38,black,single,1,12,not college grad,0,SMSA,1,Public Administration,Professional/technical,union,8,40,13,4
183,43,white,single,0,12,not college grad,0,SMSA,0,Manufacturing,Managers/admin,union,8,40,17,13
184,41,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,nonunion,8,40,14,12
188,41,white,married,0,12,not college grad,0,SMSA,0,Manufacturing,Sales,union,10,40,13,8
195,36,white,married,0,12,not college grad,0,SMSA,0,Ag/Forestry/Fisheries,Sales,nonunion,5,40,13,2
202,36,white,single,0,14,not college grad,1,nonSMSA,0,Wholesale/Retail Trade,Laborers,,3,30,12,0
203,41,white,married,0,11,not college grad,1,SMSA,1,Finance/Ins/Real Estate,Clerical/unskilled,nonunion,8,24,19,3
204,38,black,married,0,10,not college grad,0,SMSA,1,Wholesale/Retail Trade,Managers/admin,nonunion,6,40,6,4
206,37,white,married,0,14,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,10,18,10,1
207,38,black,single,1,18,college grad,0,SMSA,1,Professional Services,Professional/technical,union,12,50,13,2
210,37,black,single,0,11,not college grad,0,SMSA,0,Manufacturing,Operatives,,5,40,16,11
213,43,white,single,0,10,not college grad,0,SMSA,1,Manufacturing,Operatives,nonunion,6,40,17,14
215,36,white,single,1,16,college grad,0,SMSA,0,Wholesale/Retail Trade,Sales,nonunion,5,40,16,4
218,35,white,married,0,12,not college grad,0,nonSMSA,0,Professional Services,Managers/admin,nonunion,5,38,10,2
219,35,white,single,1,13,not college grad,0,SMSA,1,Professional Services,Laborers,nonunion,11,40,17,9
221,40,white,married,0,16,college grad,0,SMSA,0,Manufacturing,Professional/technical,nonunion,8,35,9,2
223,37,white,single,0,16,college grad,0,SMSA,0,Entertainment/Rec Svc,Professional/technical,nonunion,13,40,16,9
224,38,white,married,0,13,not college grad,0,SMSA,0,Professional Services,Sales,union,6,40,11,5
225,35,white,single,0,16,college grad,0,SMSA,0,Manufacturing,Managers/admin,nonunion,13,45,17,16
226,34,white,married,0,16,college grad,1,SMSA,0,Public Administration,Professional/technical,nonunion,7,40,8,7
227,42,white,single,0,15,not college grad,1,SMSA,1,Manufacturing,Sales,nonunion,6,40,19,1
228,42,white,married,0,16,college grad,1,SMSA,0,Finance/Ins/Real Estate,Sales,nonunion,4,15,5,0
231,42,white,married,0,16,college grad,0,SMSA,0,Business/Repair Svc,Sales,nonunion,18,30,11,10
233,36,white,married,0,16,college grad,0,nonSMSA,0,Professional Services,Professional/technical,nonunion,6,40,14,14
236,36,white,married,0,18,college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,25,20,9,4
237,36,white,single,1,17,college grad,0,SMSA,1,Professional Services,Sales,union,7,40,12,2
242,39,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Operatives,union,5,24,15,9
243,35,white,married,0,18,college grad,0,SMSA,0,Public Administration,Managers/admin,union,13,40,17,9
244,36,white,single,1,13,not college grad,1,nonSMSA,0,Finance/Ins/Real Estate,Professional/technical,nonunion,10,40,16,11
245,36,white,married,0,15,not college grad,0,SMSA,1,Professional Services,Professional/technical,nonunion,6,40,10,1
250,44,white,married,0,18,college grad,1,SMSA,0,Professional Services,Other,nonunion,8,50,9,4
254,39,white,single,0,12,not college grad,1,SMSA,0,Professional Services,Professional/technical,nonunion,10,40,16,10
255,45,black,married,0,14,not college grad,0,SMSA,1,Transport/Comm/Utility,Sales,nonunion,4,40,25,25
257,38,black,married,0,16,college grad,1,SMSA,1,Professional Services,Professional/technical,union,12,40,12,3
260,38,white,single,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,nonunion,7,40,11,3
261,41,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Sales,union,4,40,5,3
262,44,white,single,0,14,not college grad,1,SMSA,0,Professional Services,Managers/admin,,5,40,15,1
265,44,white,single,0,14,not college grad,1,SMSA,1,Professional Services,Professional/technical,nonunion,9,40,11,1
269,40,white,married,0,16,college grad,0,SMSA,0,Professional Services,Other,union,3,14,8,2
270,38,white,married,0,16,college grad,0,SMSA,1,Professional Services,Laborers,union,8,40,16,11
271,36,white,single,1,11,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,5,40,11,11
273,42,white,married,0,12,not college grad,0,SMSA,0,Business/Repair Svc,Laborers,,4,20,9,0
275,38,white,married,0,10,not college grad,0,SMSA,1,Manufacturing,Operatives,,1,16,7,1
276,35,white,married,0,12,not college grad,0,SMSA,1,Wholesale/Retail Trade,Sales,nonunion,7,22,16,16
279,35,white,married,0,16,college grad,0,SMSA,0,Wholesale/Retail Trade,Other,,10,55,16,6
285,38,white,married,0,13,not college grad,0,SMSA,0,Wholesale/Retail Trade,Managers/admin,nonunion,6,50,10,3
287,41,white,married,0,12,not college grad,0,SMSA,0,Professional Services,Laborers,union,5,15,6,1
